##Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass	Markers_Hit
SRR172903.999748 USI-EAS376:2:12:997:674 length=75	2.73	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.142750352847143	concat
SRR172903.999748 USI-EAS376:2:12:997:674 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.142639324169143	concat
SRR172903.999748 USI-EAS376:2:12:997:674 length=75	2.73	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.142612250371143	concat
SRR172903.999748 USI-EAS376:2:12:997:674 length=75	2.73	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.142522892356143	concat
SRR172903.999748 USI-EAS376:2:12:997:674 length=75	2.73	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.142517479866143	concat
SRR172903.674900 USI-EAS376:2:8:1121:869 length=75	1.63	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.14525377314	concat
SRR172903.674900 USI-EAS376:2:8:1121:869 length=75	1.63	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.143059910283	concat
SRR172903.674900 USI-EAS376:2:8:1121:869 length=75	1.63	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.142703532527	concat
SRR172903.674900 USI-EAS376:2:8:1121:869 length=75	1.63	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.14237759624	concat
SRR172903.674900 USI-EAS376:2:8:1121:869 length=75	1.63	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.142052348648	concat
SRR172903.674900 USI-EAS376:2:8:1121:869 length=75	1.63	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.141433423011	concat
SRR172903.674900 USI-EAS376:2:8:1121:869 length=75	1.63	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0715597080755	concat
SRR172903.674900 USI-EAS376:2:8:1121:869 length=75	1.63	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0715597080755	concat
SRR172903.838565 USI-EAS376:2:10:980:1681 length=75	1.75	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.571774242695428	concat
SRR172903.838565 USI-EAS376:2:10:980:1681 length=75	1.75	1280	species	STAPHYLOCOCCUS AUREUS	0.285528910822714	concat
SRR172903.838565 USI-EAS376:2:10:980:1681 length=75	1.75	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142696846481857	concat
SRR172903.285331 USI-EAS376:2:4:281:1803 length=75	2.70	641491	no rank	DESULFOVIBRIO DESULFURICANS ND132	0.0310627949638764	mtDNA_ND1_aa_aligned
SRR172903.285331 USI-EAS376:2:4:281:1803 length=75	2.70	79209	species	DESULFOSPOROSINUS MERIDIEI	0.00274162592598458	mtDNA_ND1_aa_aligned
SRR172903.285331 USI-EAS376:2:4:281:1803 length=75	2.70	768704	no rank	DESULFOSPOROSINUS MERIDIEI DSM 13257	0.00274162592598458	mtDNA_ND1_aa_aligned
SRR172903.285331 USI-EAS376:2:4:281:1803 length=75	2.70	79206	genus	DESULFOSPOROSINUS	0.00274162592598458	mtDNA_ND1_aa_aligned
SRR172903.285331 USI-EAS376:2:4:281:1803 length=75	2.70	Unknown	Unknown	Unclassifiable	0.96071232725817	mtDNA_ND1_aa_aligned
SRR172903.526735 USI-EAS376:2:6:1572:640 length=75	7.75	1063	species	RHODOBACTER SPHAEROIDES	0.284783329671057	concat
SRR172903.526735 USI-EAS376:2:6:1572:640 length=75	7.75	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.25141721866805	concat
SRR172903.526735 USI-EAS376:2:6:1572:640 length=75	7.75	31989	family	RHODOBACTERACEAE	0.226169253037045	concat
SRR172903.526735 USI-EAS376:2:6:1572:640 length=75	7.75	1060	genus	RHODOBACTER	0.154805188022031	concat
SRR172903.526735 USI-EAS376:2:6:1572:640 length=75	7.75	349102	no rank	RHODOBACTER SPHAEROIDES ATCC 17025	0.0828250106018166	concat
SRR172903.496105 USI-EAS376:2:6:946:616 length=75	10.72	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.466762174915	concat
SRR172903.496105 USI-EAS376:2:6:946:616 length=75	10.72	1290	species	STAPHYLOCOCCUS HOMINIS	0.1386674967975	concat
SRR172903.496105 USI-EAS376:2:6:946:616 length=75	10.72	629742	no rank	STAPHYLOCOCCUS HOMINIS SK119	0.1386674967975	concat
SRR172903.496105 USI-EAS376:2:6:946:616 length=75	10.72	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.127502328758	concat
SRR172903.496105 USI-EAS376:2:6:946:616 length=75	10.72	Unknown	Unknown	Unclassifiable	0.128400502732	concat
SRR172903.892148 USI-EAS376:2:11:365:35 length=75	1.75	869678	no rank	ESCHERICHIA COLI 99.0741	0.143504833703144	concat
SRR172903.892148 USI-EAS376:2:11:365:35 length=75	1.75	656449	no rank	ESCHERICHIA COLI TW10509	0.143335726680143	concat
SRR172903.892148 USI-EAS376:2:11:365:35 length=75	1.75	1196033	no rank	ESCHERICHIA COLI SEPT362	0.142745405119143	concat
SRR172903.892148 USI-EAS376:2:11:365:35 length=75	1.75	670903	no rank	ESCHERICHIA COLI TX1999	0.142724370249143	concat
SRR172903.892148 USI-EAS376:2:11:365:35 length=75	1.75	550677	no rank	ESCHERICHIA COLI B354	0.142451128219142	concat
SRR172903.892148 USI-EAS376:2:11:365:35 length=75	1.75	991913	no rank	ESCHERICHIA COLI O103:H25	0.0712465633735712	concat
SRR172903.892148 USI-EAS376:2:11:365:35 length=75	1.75	1101440	no rank	ESCHERICHIA COLI O103:H25 STR. NIPH 11060424	0.0712465633735712	concat
SRR172903.892148 USI-EAS376:2:11:365:35 length=75	1.75	Unknown	Unknown	Unclassifiable	0.142745409282143	concat
SRR172903.919625 USI-EAS376:2:11:980:965 length=75	1.63	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.571528972387572	concat
SRR172903.919625 USI-EAS376:2:11:980:965 length=75	1.63	1280	species	STAPHYLOCOCCUS AUREUS	0.285660231113286	concat
SRR172903.919625 USI-EAS376:2:11:980:965 length=75	1.63	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142810796499143	concat
SRR172903.987265 USI-EAS376:2:12:711:1609 length=75	5.73	1280	species	STAPHYLOCOCCUS AUREUS	0.226095982002	concat
SRR172903.987265 USI-EAS376:2:12:711:1609 length=75	5.73	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.131184555777	concat
SRR172903.987265 USI-EAS376:2:12:711:1609 length=75	5.73	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.128945001534	concat
SRR172903.987265 USI-EAS376:2:12:711:1609 length=75	5.73	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.128585177095	concat
SRR172903.987265 USI-EAS376:2:12:711:1609 length=75	5.73	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.12825618919	concat
SRR172903.987265 USI-EAS376:2:12:711:1609 length=75	5.73	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.127927997425	concat
SRR172903.987265 USI-EAS376:2:12:711:1609 length=75	5.73	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0645025484885	concat
SRR172903.987265 USI-EAS376:2:12:711:1609 length=75	5.73	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0645025484885	concat
SRR172903.901698 USI-EAS376:2:11:567:1079 length=75	1.75	1063	species	RHODOBACTER SPHAEROIDES	0.384182532046254	concat
SRR172903.901698 USI-EAS376:2:11:567:1079 length=75	1.75	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.197006819155079	concat
SRR172903.901698 USI-EAS376:2:11:567:1079 length=75	1.75	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.196820384015079	concat
SRR172903.901698 USI-EAS376:2:11:567:1079 length=75	1.75	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.194532131587078	concat
SRR172903.901698 USI-EAS376:2:11:567:1079 length=75	1.75	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.027458133196511	concat
SRR172903.617456 USI-EAS376:2:7:1689:158 length=75	3.71	1063	species	RHODOBACTER SPHAEROIDES	0.39505932164	concat
SRR172903.617456 USI-EAS376:2:7:1689:158 length=75	3.71	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.151623946861	concat
SRR172903.617456 USI-EAS376:2:7:1689:158 length=75	3.71	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.151220274471	concat
SRR172903.617456 USI-EAS376:2:7:1689:158 length=75	3.71	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.151151420829	concat
SRR172903.617456 USI-EAS376:2:7:1689:158 length=75	3.71	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.150945036199	concat
SRR172903.585643 USI-EAS376:2:7:1011:542 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.435739599736564	concat
SRR172903.585643 USI-EAS376:2:7:1011:542 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.141954952439858	concat
SRR172903.585643 USI-EAS376:2:7:1011:542 length=75	2.73	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.141188882279859	concat
SRR172903.585643 USI-EAS376:2:7:1011:542 length=75	2.73	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.140601269252859	concat
SRR172903.585643 USI-EAS376:2:7:1011:542 length=75	2.73	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.140515296290859	concat
SRR172903.291809 USI-EAS376:2:4:405:1332 length=75	2.73	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.145392651607	concat
SRR172903.291809 USI-EAS376:2:4:405:1332 length=75	2.73	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.143075693	concat
SRR172903.291809 USI-EAS376:2:4:405:1332 length=75	2.73	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.142696190254	concat
SRR172903.291809 USI-EAS376:2:4:405:1332 length=75	2.73	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.142349169559	concat
SRR172903.291809 USI-EAS376:2:4:405:1332 length=75	2.73	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.14200295305	concat
SRR172903.291809 USI-EAS376:2:4:405:1332 length=75	2.73	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.141344281785	concat
SRR172903.291809 USI-EAS376:2:4:405:1332 length=75	2.73	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0715695303725	concat
SRR172903.291809 USI-EAS376:2:4:405:1332 length=75	2.73	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0715695303725	concat
SRR172903.902628 USI-EAS376:2:11:587:1401 length=75	1.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.287382260709287	concat
SRR172903.902628 USI-EAS376:2:11:587:1401 length=75	1.75	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.142617821089143	concat
SRR172903.902628 USI-EAS376:2:11:587:1401 length=75	1.75	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.142586440836143	concat
SRR172903.902628 USI-EAS376:2:11:587:1401 length=75	1.75	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.142551153587143	concat
SRR172903.902628 USI-EAS376:2:11:587:1401 length=75	1.75	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.142434689904142	concat
SRR172903.902628 USI-EAS376:2:11:587:1401 length=75	1.75	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.142427633874142	concat
SRR172903.700654 USI-EAS376:2:8:1660:109 length=75	2.70	1280	species	STAPHYLOCOCCUS AUREUS	0.419018306605	concat
SRR172903.700654 USI-EAS376:2:8:1660:109 length=75	2.70	548475	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS TCH70	0.195004975073	concat
SRR172903.700654 USI-EAS376:2:8:1660:109 length=75	2.70	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.193339610812	concat
SRR172903.700654 USI-EAS376:2:8:1660:109 length=75	2.70	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.19263710751	concat
SRR172903.468301 USI-EAS376:2:6:385:36 length=75	3.71	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.143213586980857	concat
SRR172903.468301 USI-EAS376:2:6:385:36 length=75	3.71	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.143088545971857	concat
SRR172903.468301 USI-EAS376:2:6:385:36 length=75	3.71	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.142974050728857	concat
SRR172903.468301 USI-EAS376:2:6:385:36 length=75	3.71	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.142641656646857	concat
SRR172903.468301 USI-EAS376:2:6:385:36 length=75	3.71	548475	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS TCH70	0.142631285800857	concat
SRR172903.468301 USI-EAS376:2:6:385:36 length=75	3.71	1280	species	STAPHYLOCOCCUS AUREUS	0.142279934649858	concat
SRR172903.468301 USI-EAS376:2:6:385:36 length=75	3.71	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0715854696104284	concat
SRR172903.468301 USI-EAS376:2:6:385:36 length=75	3.71	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0715854696104284	concat
SRR172903.944120 USI-EAS376:2:11:1556:1952 length=75	3.68	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.293218203923	concat
SRR172903.944120 USI-EAS376:2:11:1556:1952 length=75	3.68	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.142189822689	concat
SRR172903.944120 USI-EAS376:2:11:1556:1952 length=75	3.68	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.14153665471	concat
SRR172903.944120 USI-EAS376:2:11:1556:1952 length=75	3.68	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.141377767732	concat
SRR172903.944120 USI-EAS376:2:11:1556:1952 length=75	3.68	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.14085459951	concat
SRR172903.944120 USI-EAS376:2:11:1556:1952 length=75	3.68	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.140822951436	concat
SRR172903.480510 USI-EAS376:2:6:627:1255 length=75	3.74	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.33965053703734	concat
SRR172903.480510 USI-EAS376:2:6:627:1255 length=75	3.74	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.279320478507279	concat
SRR172903.480510 USI-EAS376:2:6:627:1255 length=75	3.74	1280	species	STAPHYLOCOCCUS AUREUS	0.268901383728269	concat
SRR172903.480510 USI-EAS376:2:6:627:1255 length=75	3.74	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.112127600727112	concat
SRR172903.563608 USI-EAS376:2:7:541:1012 length=75	1.75	1279	genus	STAPHYLOCOCCUS	0.282892269199	concat
SRR172903.563608 USI-EAS376:2:7:541:1012 length=75	1.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.16038854311	concat
SRR172903.563608 USI-EAS376:2:7:541:1012 length=75	1.75	525378	no rank	STAPHYLOCOCCUS CAPRAE M23864:W1	0.144982325201	concat
SRR172903.563608 USI-EAS376:2:7:541:1012 length=75	1.75	435838	no rank	STAPHYLOCOCCUS CAPRAE C87	0.137338501277	concat
SRR172903.563608 USI-EAS376:2:7:541:1012 length=75	1.75	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.13611738147	concat
SRR172903.563608 USI-EAS376:2:7:541:1012 length=75	1.75	553212	no rank	STAPHYLOCOCCUS CAPITIS SK14	0.0691404898715	concat
SRR172903.563608 USI-EAS376:2:7:541:1012 length=75	1.75	29388	species	STAPHYLOCOCCUS CAPITIS	0.0691404898715	concat
SRR172903.36352 USI-EAS376:2:1:724:337 length=75	1.75	1279	genus	STAPHYLOCOCCUS	0.176702747640177	concat
SRR172903.36352 USI-EAS376:2:1:724:337 length=75	1.75	1280	species	STAPHYLOCOCCUS AUREUS	0.175397034390175	concat
SRR172903.36352 USI-EAS376:2:1:724:337 length=75	1.75	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.130596438077131	concat
SRR172903.36352 USI-EAS376:2:1:724:337 length=75	1.75	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.129452751558129	concat
SRR172903.36352 USI-EAS376:2:1:724:337 length=75	1.75	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.129268191551129	concat
SRR172903.36352 USI-EAS376:2:1:724:337 length=75	1.75	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.129099236537129	concat
SRR172903.36352 USI-EAS376:2:1:724:337 length=75	1.75	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0647418001230647	concat
SRR172903.36352 USI-EAS376:2:1:724:337 length=75	1.75	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0647418001230647	concat
SRR172903.953309 USI-EAS376:2:11:1759:1110 length=75	2.70	210	species	HELICOBACTER PYLORI	0.331822238400934	concat
SRR172903.953309 USI-EAS376:2:11:1759:1110 length=75	2.70	992083	no rank	HELICOBACTER PYLORI HP P 23	0.188922153831962	concat
SRR172903.953309 USI-EAS376:2:11:1759:1110 length=75	2.70	1391728	no rank	HELICOBACTER PYLORI 26695 1CH	0.184694072918963	concat
SRR172903.953309 USI-EAS376:2:11:1759:1110 length=75	2.70	1391726	no rank	HELICOBACTER PYLORI 26695 1	0.184694072918963	concat
SRR172903.953309 USI-EAS376:2:11:1759:1110 length=75	2.70	992041	no rank	HELICOBACTER PYLORI HP H 28	0.0659491968627868	concat
SRR172903.953309 USI-EAS376:2:11:1759:1110 length=75	2.70	992080	no rank	HELICOBACTER PYLORI HP P 15	0.0439182650663912	concat
SRR172903.601306 USI-EAS376:2:7:1351:475 length=75	2.67	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.572623717816573	concat
SRR172903.601306 USI-EAS376:2:7:1351:475 length=75	2.67	1280	species	STAPHYLOCOCCUS AUREUS	0.285086420966285	concat
SRR172903.601306 USI-EAS376:2:7:1351:475 length=75	2.67	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142289861217142	concat
SRR172903.925415 USI-EAS376:2:11:1116:1094 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.41050610282759	concat
SRR172903.925415 USI-EAS376:2:11:1116:1094 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.149458859489851	concat
SRR172903.925415 USI-EAS376:2:11:1116:1094 length=75	2.73	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.149279284328851	concat
SRR172903.925415 USI-EAS376:2:11:1116:1094 length=75	2.73	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.147704476469852	concat
SRR172903.925415 USI-EAS376:2:11:1116:1094 length=75	2.73	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.143051276883857	concat
SRR172903.588357 USI-EAS376:2:7:1073:2011 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.286413120751	concat
SRR172903.588357 USI-EAS376:2:7:1073:2011 length=75	2.73	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.142798628558	concat
SRR172903.588357 USI-EAS376:2:7:1073:2011 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.142735069284	concat
SRR172903.588357 USI-EAS376:2:7:1073:2011 length=75	2.73	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.142719564776	concat
SRR172903.588357 USI-EAS376:2:7:1073:2011 length=75	2.73	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.142668358953	concat
SRR172903.588357 USI-EAS376:2:7:1073:2011 length=75	2.73	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.142665257678	concat
SRR172903.432822 USI-EAS376:2:5:1437:372 length=75	3.74	543	family	ENTEROBACTERIACEAE	0.429322058871571	concat
SRR172903.432822 USI-EAS376:2:5:1437:372 length=75	3.74	562	species	ESCHERICHIA COLI	0.428484358272571	concat
SRR172903.432822 USI-EAS376:2:5:1437:372 length=75	3.74	1181777	no rank	ESCHERICHIA COLI KTE233	0.142193582855858	concat
SRR172903.18241 USI-EAS376:2:1:371:534 length=75	1.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.430912395196431	concat
SRR172903.18241 USI-EAS376:2:1:371:534 length=75	1.75	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.142929560657143	concat
SRR172903.18241 USI-EAS376:2:1:371:534 length=75	1.75	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.142275615760142	concat
SRR172903.18241 USI-EAS376:2:1:371:534 length=75	1.75	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.142239380976142	concat
SRR172903.18241 USI-EAS376:2:1:371:534 length=75	1.75	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.141643047410142	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	1314	species	STREPTOCOCCUS PYOGENES	0.146384441781146	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	1309807	no rank	STREPTOCOCCUS AGALACTIAE ILRI005	0.141256363472141	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	1336746	no rank	STREPTOCOCCUS PYOGENES HSC5	0.13973614053614	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	798300	no rank	STREPTOCOCCUS PYOGENES MGAS15252	0.0727552859185728	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	798299	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M59	0.0727552859185728	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	404331	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M4	0.0726053948490726	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	370554	no rank	STREPTOCOCCUS PYOGENES MGAS10750	0.0726053948490726	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	301448	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M3	0.0708482265770709	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	198466	no rank	STREPTOCOCCUS PYOGENES MGAS315	0.0708482265770709	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	160491	no rank	STREPTOCOCCUS PYOGENES STR. MANFREDO	0.0701026197605701	concat
SRR172903.305241 USI-EAS376:2:4:670:9 length=75	3.74	301449	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M5	0.0701026197605701	concat
SRR172903.236267 USI-EAS376:2:3:1082:1750 length=75	1.75	562	species	ESCHERICHIA COLI	0.23293447612994	concat
SRR172903.236267 USI-EAS376:2:3:1082:1750 length=75	1.75	1181777	no rank	ESCHERICHIA COLI KTE233	0.168209770636101	concat
SRR172903.236267 USI-EAS376:2:3:1082:1750 length=75	1.75	1181778	no rank	ESCHERICHIA COLI KTE234	0.167606112853101	concat
SRR172903.236267 USI-EAS376:2:3:1082:1750 length=75	1.75	1169394	no rank	ESCHERICHIA COLI KTE157	0.1661977100381	concat
SRR172903.236267 USI-EAS376:2:3:1082:1750 length=75	1.75	1182683	no rank	ESCHERICHIA COLI KTE76	0.0972642838376584	concat
SRR172903.236267 USI-EAS376:2:3:1082:1750 length=75	1.75	37762	no rank	ESCHERICHIA COLI B	0.0838938232525503	concat
SRR172903.236267 USI-EAS376:2:3:1082:1750 length=75	1.75	413997	no rank	ESCHERICHIA COLI B STR. REL606	0.0838938232525503	concat
SRR172903.571238 USI-EAS376:2:7:697:1130 length=75	1.75	91750	species	UNCULTURED ALPHA PROTEOBACTERIUM	0.181517380703855	16s_reps_bac
SRR172903.571238 USI-EAS376:2:7:697:1130 length=75	1.75	58314	species	RHODOVULUM STRICTUM	0.117374757794906	16s_reps_bac
SRR172903.571238 USI-EAS376:2:7:697:1130 length=75	1.75	Unknown	Unknown	Unclassifiable	0.701107861501239	16s_reps_bac
SRR172903.685956 USI-EAS376:2:8:1353:431 length=75	3.74	496922	species	CORAL METAGENOME	0.432811662541	concat
SRR172903.685956 USI-EAS376:2:8:1353:431 length=75	3.74	10288	species	CHORISTONEURA BIENNIS ENTOMOPOXVIRUS 'L'	0.146784933639	concat
SRR172903.685956 USI-EAS376:2:8:1353:431 length=75	3.74	32008	genus	BURKHOLDERIA	0.140694615085	concat
SRR172903.685956 USI-EAS376:2:8:1353:431 length=75	3.74	148447	species	BURKHOLDERIA PHYMATUM	0.0703473075425	concat
SRR172903.685956 USI-EAS376:2:8:1353:431 length=75	3.74	391038	no rank	BURKHOLDERIA PHYMATUM STM815	0.0703473075425	concat
SRR172903.685956 USI-EAS376:2:8:1353:431 length=75	3.74	196896	no rank	UNCLASSIFIED MYOVIRIDAE	0.069507086825	concat
SRR172903.685956 USI-EAS376:2:8:1353:431 length=75	3.74	1007869	species	RHODOCOCCUS PHAGE E3	0.069507086825	concat
SRR172903.243117 USI-EAS376:2:3:1212:1001 length=75	2.73	46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.574538129431	concat
SRR172903.243117 USI-EAS376:2:3:1212:1001 length=75	2.73	1280	species	STAPHYLOCOCCUS AUREUS	0.284179296496	concat
SRR172903.243117 USI-EAS376:2:3:1212:1001 length=75	2.73	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.141282574073	concat
SRR172903.991267 USI-EAS376:2:12:801:190 length=75	2.73	59201	subspecies	SALMONELLA ENTERICA SUBSP. ENTERICA	0.571207948631571	concat
SRR172903.991267 USI-EAS376:2:12:801:190 length=75	2.73	562	species	ESCHERICHIA COLI	0.285681108334286	concat
SRR172903.991267 USI-EAS376:2:12:801:190 length=75	2.73	439843	no rank	SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR SCHWARZENGRUND STR. CVM19633	0.143110943034143	concat
SRR172903.804433 USI-EAS376:2:10:254:515 length=75	1.75	1279	genus	STAPHYLOCOCCUS	0.436775484352306	concat
SRR172903.804433 USI-EAS376:2:10:254:515 length=75	1.75	985002	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MSHR1132	0.143783632608101	concat
