	##Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass	Markers_Hit
4263	SRR172903.946443 USI-EAS376:2:11:1607:233 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.19798615130452105	concat
4264	SRR172903.946443 USI-EAS376:2:11:1607:233 length=75	2.73	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.0986468994148605	concat
4265	SRR172903.946443 USI-EAS376:2:11:1607:233 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.0985919046485605	concat
4266	SRR172903.946443 USI-EAS376:2:11:1607:233 length=75	2.73	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.0985891166162605	concat
4267	SRR172903.485039 USI-EAS376:2:6:719:811 length=75	1.75	1063	species	RHODOBACTER SPHAEROIDES	0.474270175859474	concat
4268	SRR172903.485039 USI-EAS376:2:6:719:811 length=75	1.75	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.13171881035113198	concat
4269	SRR172903.485039 USI-EAS376:2:6:719:811 length=75	1.75	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.131420117699131	concat
4270	SRR172903.485039 USI-EAS376:2:6:719:811 length=75	1.75	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.131370225636131	concat
4271	SRR172903.485039 USI-EAS376:2:6:719:811 length=75	1.75	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.131220670454131	concat
4272	SRR172903.13576 USI-EAS376:2:1:281:1071 length=75	2.73	1280	species	STAPHYLOCOCCUS AUREUS	0.164614652247	concat
4273	SRR172903.13576 USI-EAS376:2:1:281:1071 length=75	2.73	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.139900965849	concat
4274	SRR172903.13576 USI-EAS376:2:1:281:1071 length=75	2.73	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.139219855335	concat
4275	SRR172903.13576 USI-EAS376:2:1:281:1071 length=75	2.73	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.139109672027	concat
4276	SRR172903.13576 USI-EAS376:2:1:281:1071 length=75	2.73	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.139008738789	concat
4277	SRR172903.13576 USI-EAS376:2:1:281:1071 length=75	2.73	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.13890786648700001	concat
4278	SRR172903.13576 USI-EAS376:2:1:281:1071 length=75	2.73	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.069619124633	concat
4279	SRR172903.13576 USI-EAS376:2:1:281:1071 length=75	2.73	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.069619124633	concat
4280	SRR172903.457476 USI-EAS376:2:6:167:1426 length=75	2.73	1280	species	STAPHYLOCOCCUS AUREUS	0.225097609092775	concat
4281	SRR172903.457476 USI-EAS376:2:6:167:1426 length=75	2.73	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.13337632837386698	concat
4282	SRR172903.457476 USI-EAS376:2:6:167:1426 length=75	2.73	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.129437356384871	concat
4283	SRR172903.457476 USI-EAS376:2:6:167:1426 length=75	2.73	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.128251381940872	concat
4284	SRR172903.457476 USI-EAS376:2:6:167:1426 length=75	2.73	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.127681224004872	concat
4285	SRR172903.457476 USI-EAS376:2:6:167:1426 length=75	2.73	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.126599618827873	concat
4286	SRR172903.457476 USI-EAS376:2:6:167:1426 length=75	2.73	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0647782406874352	concat
4287	SRR172903.457476 USI-EAS376:2:6:167:1426 length=75	2.73	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0647782406874352	concat
4288	SRR172903.495150 USI-EAS376:2:6:925:844 length=75	1.69	1279	genus	STAPHYLOCOCCUS	0.15752111218284198	concat
4289	SRR172903.495150 USI-EAS376:2:6:925:844 length=75	1.69	985002	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MSHR1132	0.154277906806846	concat
4290	SRR172903.495150 USI-EAS376:2:6:925:844 length=75	1.69	1280	species	STAPHYLOCOCCUS AUREUS	0.15152469009984804	concat
4291	SRR172903.495150 USI-EAS376:2:6:925:844 length=75	1.69	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.134223370753866	concat
4292	SRR172903.495150 USI-EAS376:2:6:925:844 length=75	1.69	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.134144371637866	concat
4293	SRR172903.495150 USI-EAS376:2:6:925:844 length=75	1.69	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.134071985917866	concat
4294	SRR172903.495150 USI-EAS376:2:6:925:844 length=75	1.69	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0671182813004329	concat
4295	SRR172903.495150 USI-EAS376:2:6:925:844 length=75	1.69	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0671182813004329	concat
4296	SRR172903.711144 USI-EAS376:2:9:102:516 length=75	1.63	1279	genus	STAPHYLOCOCCUS	0.20390615294740805	concat
4297	SRR172903.711144 USI-EAS376:2:9:102:516 length=75	1.63	985002	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MSHR1132	0.14934952765129902	concat
4298	SRR172903.711144 USI-EAS376:2:9:102:516 length=75	1.63	1280	species	STAPHYLOCOCCUS AUREUS	0.14650766753529298	concat
4299	SRR172903.711144 USI-EAS376:2:9:102:516 length=75	1.63	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.12550147019025099	concat
4300	SRR172903.711144 USI-EAS376:2:9:102:516 length=75	1.63	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.12493708463424999	concat
4301	SRR172903.711144 USI-EAS376:2:9:102:516 length=75	1.63	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.12484576639125	concat
4302	SRR172903.711144 USI-EAS376:2:9:102:516 length=75	1.63	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.062476165325125	concat
4303	SRR172903.711144 USI-EAS376:2:9:102:516 length=75	1.63	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.062476165325125	concat
4304	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	1309807	no rank	STREPTOCOCCUS AGALACTIAE ILRI005	0.141788547613142	concat
4305	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	798300	no rank	STREPTOCOCCUS PYOGENES MGAS15252	0.0724094147745724	concat
4306	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	798299	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M59	0.0724094147745724	concat
4307	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	370554	no rank	STREPTOCOCCUS PYOGENES MGAS10750	0.0723031167775723	concat
4308	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	404331	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M4	0.0723031167775723	concat
4309	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	370553	no rank	STREPTOCOCCUS PYOGENES MGAS2096	0.0713399071765713	concat
4310	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	342023	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M12	0.0713399071765713	concat
4311	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	370552	no rank	STREPTOCOCCUS PYOGENES MGAS10270	0.0713267993405713	concat
4312	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	404330	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M2	0.0713267993405713	concat
4313	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	198466	no rank	STREPTOCOCCUS PYOGENES MGAS315	0.071052083634571	concat
4314	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	301448	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M3	0.071052083634571	concat
4315	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	342021	no rank	STREPTOCOCCUS PYOGENES SEROTYPE M44	0.0706744044895707	concat
4316	SRR172903.244715 USI-EAS376:2:3:1242:1678 length=75	6.65	1440772	no rank	STREPTOCOCCUS PYOGENES STAB901	0.0706744044895707	concat
4317	SRR172903.550322 USI-EAS376:2:7:275:281 length=75	1.75	77133	species	UNCULTURED BACTERIUM	0.142375730251	16s_reps_bac
4320	SRR172903.834662 USI-EAS376:2:10:892:1064 length=75	1.75	1280	species	STAPHYLOCOCCUS AUREUS	0.285446934449285	concat
4321	SRR172903.834662 USI-EAS376:2:10:892:1064 length=75	1.75	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142623311549143	concat
4322	SRR172903.200520 USI-EAS376:2:3:382:1159 length=75	1.75	1309	species	STREPTOCOCCUS MUTANS	1.0	concat
4323	SRR172903.554774 USI-EAS376:2:7:364:1175 length=75	1.75	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.14484747894285502	concat
4324	SRR172903.554774 USI-EAS376:2:7:364:1175 length=75	1.75	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.143023662949857	concat
4325	SRR172903.554774 USI-EAS376:2:7:364:1175 length=75	1.75	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.142728953894857	concat
4326	SRR172903.554774 USI-EAS376:2:7:364:1175 length=75	1.75	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.142459307781858	concat
4327	SRR172903.554774 USI-EAS376:2:7:364:1175 length=75	1.75	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.14219012735585798	concat
4328	SRR172903.554774 USI-EAS376:2:7:364:1175 length=75	1.75	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.141677597754858	concat
4329	SRR172903.554774 USI-EAS376:2:7:364:1175 length=75	1.75	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0715364356599285	concat
4330	SRR172903.554774 USI-EAS376:2:7:364:1175 length=75	1.75	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0715364356599285	concat
4331	SRR172903.713617 USI-EAS376:2:9:155:1287 length=75	5.73	1063	species	RHODOBACTER SPHAEROIDES	0.298549525238701	concat
4332	SRR172903.713617 USI-EAS376:2:9:155:1287 length=75	5.73	349102	no rank	RHODOBACTER SPHAEROIDES ATCC 17025	0.16907934821083098	concat
4333	SRR172903.713617 USI-EAS376:2:9:155:1287 length=75	5.73	557760	no rank	RHODOBACTER SPHAEROIDES KD131	0.133210109936867	concat
4334	SRR172903.713617 USI-EAS376:2:9:155:1287 length=75	5.73	349101	no rank	RHODOBACTER SPHAEROIDES ATCC 17029	0.133087692947867	concat
4335	SRR172903.713617 USI-EAS376:2:9:155:1287 length=75	5.73	272943	no rank	RHODOBACTER SPHAEROIDES 2.4.1	0.133067275951867	concat
4336	SRR172903.713617 USI-EAS376:2:9:155:1287 length=75	5.73	992186	no rank	RHODOBACTER SPHAEROIDES WS8N	0.133006047713867	concat
4337	SRR172903.939969 USI-EAS376:2:11:1460:1585 length=75	1.69	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.57192906145	concat
4338	SRR172903.939969 USI-EAS376:2:11:1460:1585 length=75	1.69	979205	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM057	0.14325329231699999	concat
4339	SRR172903.939969 USI-EAS376:2:11:1460:1585 length=75	1.69	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.142436708352	concat
4340	SRR172903.939969 USI-EAS376:2:11:1460:1585 length=75	1.69	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.142380937881	concat
4341	SRR172903.870863 USI-EAS376:2:10:1684:1782 length=75	2.73	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.46914264136100003	concat
4342	SRR172903.870863 USI-EAS376:2:10:1684:1782 length=75	2.73	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.133736009257	concat
4343	SRR172903.870863 USI-EAS376:2:10:1684:1782 length=75	2.73	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.132939916708	concat
4344	SRR172903.870863 USI-EAS376:2:10:1684:1782 length=75	2.73	904325	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU071	0.13210995991900001	concat
4345	SRR172903.870863 USI-EAS376:2:10:1684:1782 length=75	2.73	979199	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM095	0.132071472755	concat
4346	SRR172903.857739 USI-EAS376:2:10:1406:1735 length=75	1.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.44034503603855996	concat
4347	SRR172903.857739 USI-EAS376:2:10:1406:1735 length=75	1.75	1279	genus	STAPHYLOCOCCUS	0.22275273996877695	concat
4348	SRR172903.857739 USI-EAS376:2:10:1406:1735 length=75	1.75	904336	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU118	0.112609480283887	concat
4349	SRR172903.857739 USI-EAS376:2:10:1406:1735 length=75	1.75	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.11219661856688799	concat
4350	SRR172903.857739 USI-EAS376:2:10:1406:1735 length=75	1.75	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.112096125141888	concat
4351	SRR172903.449705 USI-EAS376:2:5:1785:1084 length=75	3.74	1301	genus	STREPTOCOCCUS	0.23694428400123702	concat
4352	SRR172903.449705 USI-EAS376:2:5:1785:1084 length=75	3.74	888823	no rank	STREPTOCOCCUS SANGUINIS SK1059	0.127180647498127	concat
4353	SRR172903.449705 USI-EAS376:2:5:1785:1084 length=75	3.74	1008452	no rank	STREPTOCOCCUS MITIS SK1073	0.127179473534127	concat
4354	SRR172903.449705 USI-EAS376:2:5:1785:1084 length=75	3.74	1008453	no rank	STREPTOCOCCUS MITIS SK1080	0.127174388658127	concat
4355	SRR172903.449705 USI-EAS376:2:5:1785:1084 length=75	3.74	1000588	no rank	STREPTOCOCCUS MITIS BV. 2 STR. SK95	0.127173214355127	concat
4356	SRR172903.449705 USI-EAS376:2:5:1785:1084 length=75	3.74	888815	no rank	STREPTOCOCCUS SANGUINIS SK353	0.127172432412127	concat
4358	SRR172903.449705 USI-EAS376:2:5:1785:1084 length=75	3.74	1095730	no rank	STREPTOCOCCUS CONSTELLATUS SUBSP. CONSTELLATUS SK53	0.0635877797705636	concat
4359	SRR172903.429811 USI-EAS376:2:5:1376:1178 length=75	1.75	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.571992395899	concat
4360	SRR172903.429811 USI-EAS376:2:5:1376:1178 length=75	1.75	979205	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIHLM057	0.143314634351	concat
4361	SRR172903.429811 USI-EAS376:2:5:1376:1178 length=75	1.75	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.142378016015	concat
4362	SRR172903.429811 USI-EAS376:2:5:1376:1178 length=75	1.75	764544	no rank	STAPHYLOCOCCUS EPIDERMIDIS FRI909	0.142314953735	concat
4363	SRR172903.352506 USI-EAS376:2:4:1597:1872 length=75	3.74	509170	no rank	ACINETOBACTER BAUMANNII SDF	0.17007740256700002	concat
4364	SRR172903.352506 USI-EAS376:2:4:1597:1872 length=75	3.74	903913	no rank	ACINETOBACTER BAUMANNII WC 692	0.13887488845899998	concat
4365	SRR172903.352506 USI-EAS376:2:4:1597:1872 length=75	3.74	469	genus	ACINETOBACTER	0.138649082593	concat
4366	SRR172903.352506 USI-EAS376:2:4:1597:1872 length=75	3.74	903898	no rank	ACINETOBACTER BAUMANNII NAVAL 81	0.138150248895	concat
4367	SRR172903.352506 USI-EAS376:2:4:1597:1872 length=75	3.74	933263	no rank	ACINETOBACTER BAUMANNII UMB001	0.138098100416	concat
4368	SRR172903.352506 USI-EAS376:2:4:1597:1872 length=75	3.74	1221252	no rank	ACINETOBACTER BAUMANNII AB_2007 09 110 01 7	0.138079312806	concat
4369	SRR172903.352506 USI-EAS376:2:4:1597:1872 length=75	3.74	575584	no rank	ACINETOBACTER BAUMANNII ATCC 19606 = CIP 70.34	0.138070964264	concat
4370	SRR172903.831439 USI-EAS376:2:10:820:261 length=75	1.66	904347	no rank	STAPHYLOCOCCUS EPIDERMIDIS VCU144	0.32739297287994396	concat
4371	SRR172903.831439 USI-EAS376:2:10:820:261 length=75	1.66	979221	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH05001	0.32686089621494396	concat
4372	SRR172903.831439 USI-EAS376:2:10:820:261 length=75	1.66	1282	species	STAPHYLOCOCCUS EPIDERMIDIS	0.22036809659713297	concat
4373	SRR172903.831439 USI-EAS376:2:10:820:261 length=75	1.66	979222	no rank	STAPHYLOCOCCUS EPIDERMIDIS NIH04008	0.125378034307979	concat
4374	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	1129771	family	LEPTOTRICHIACEAE	0.315589129761937	concat
4375	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	216944	species	SPIROPLASMA SABAUDIENSE	0.24853171438645003	concat
4376	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	1276257	no rank	SPIROPLASMA SABAUDIENSE AR 1343	0.24853171438645003	concat
4377	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	2132	genus	SPIROPLASMA	0.0536675232069893	concat
4378	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	2131	family	SPIROPLASMATACEAE	0.0536675232069893	concat
4379	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	32067	genus	LEPTOTRICHIA	0.0205770488522959	concat
4380	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	157691	species	LEPTOTRICHIA SHAHII	0.0104769269709479	concat
4381	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	1122172	no rank	LEPTOTRICHIA SHAHII DSM 19757	0.0104769269709479	concat
4382	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	523794	no rank	LEPTOTRICHIA BUCCALIS C 1013 B	0.010193848643548001	concat
4383	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	40542	species	LEPTOTRICHIA BUCCALIS	0.010193848643548001	concat
4384	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	157692	species	LEPTOTRICHIA GOODFELLOWII	0.009046897484948191	concat
4385	SRR172903.333400 USI-EAS376:2:4:1223:1790 length=75	2.73	596323	no rank	LEPTOTRICHIA GOODFELLOWII F0264	0.009046897484948191	concat
4387	SRR172903.540644 USI-EAS376:2:7:76:840 length=75	1.72	1280	species	STAPHYLOCOCCUS AUREUS	0.184574709746463	concat
4388	SRR172903.540644 USI-EAS376:2:7:76:840 length=75	1.72	93062	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS COL	0.158707603491968	concat
4389	SRR172903.540644 USI-EAS376:2:7:76:840 length=75	1.72	418127	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MU3	0.155815323615969	concat
4390	SRR172903.540644 USI-EAS376:2:7:76:840 length=75	1.72	911238	no rank	STAPHYLOCOCCUS SIMIAE CCM 7213	0.105445909890479	concat
4391	SRR172903.540644 USI-EAS376:2:7:76:840 length=75	1.72	308354	species	STAPHYLOCOCCUS SIMIAE	0.105445909890479	concat
4392	SRR172903.540644 USI-EAS376:2:7:76:840 length=75	1.72	985002	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MSHR1132	0.06482252528118701	concat
4393	SRR172903.540644 USI-EAS376:2:7:76:840 length=75	1.72	1279	genus	STAPHYLOCOCCUS	0.0406133083369919	concat
4394	SRR172903.534817 USI-EAS376:2:6:1739:913 length=75	1.75	985002	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MSHR1132	0.172360795551	concat
4395	SRR172903.534817 USI-EAS376:2:6:1739:913 length=75	1.75	1280	species	STAPHYLOCOCCUS AUREUS	0.163619248192	concat
4396	SRR172903.534817 USI-EAS376:2:6:1739:913 length=75	1.75	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.132966991931	concat
4397	SRR172903.534817 USI-EAS376:2:6:1739:913 length=75	1.75	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.13282091760099998	concat
4398	SRR172903.534817 USI-EAS376:2:6:1739:913 length=75	1.75	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.132687150978	concat
4399	SRR172903.534817 USI-EAS376:2:6:1739:913 length=75	1.75	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.13255350685999998	concat
4400	SRR172903.534817 USI-EAS376:2:6:1739:913 length=75	1.75	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0664956944435	concat
4401	SRR172903.534817 USI-EAS376:2:6:1739:913 length=75	1.75	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0664956944435	concat
4402	SRR172903.88691 USI-EAS376:2:1:1750:1538 length=75	3.71	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.14501931754671	concat
4403	SRR172903.88691 USI-EAS376:2:1:1750:1538 length=75	3.71	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.143042554934714	concat
4404	SRR172903.88691 USI-EAS376:2:1:1750:1538 length=75	3.71	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.142722294553715	concat
4405	SRR172903.88691 USI-EAS376:2:1:1750:1538 length=75	3.71	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.142429309420715	concat
4406	SRR172903.88691 USI-EAS376:2:1:1750:1538 length=75	3.71	585144	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 58 424	0.14213685356171601	concat
4407	SRR172903.88691 USI-EAS376:2:1:1750:1538 length=75	3.71	548475	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS TCH70	0.141553629393717	concat
4408	SRR172903.88691 USI-EAS376:2:1:1750:1538 length=75	3.71	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0715480202943569	concat
4409	SRR172903.88691 USI-EAS376:2:1:1750:1538 length=75	3.71	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0715480202943569	concat
4410	SRR172903.635362 USI-EAS376:2:8:284:645 length=75	2.73	483214	no rank	METHANOBREVIBACTER SMITHII DSM 2375	0.790058967024	concat
4411	SRR172903.635362 USI-EAS376:2:8:284:645 length=75	2.73	911126	no rank	METHANOBREVIBACTER SMITHII TS94A	0.188746540141	concat
4412	SRR172903.635362 USI-EAS376:2:8:284:645 length=75	2.73	2173	species	METHANOBREVIBACTER SMITHII	0.021194492835	concat
4414	SRR172903.123422 USI-EAS376:2:2:646:1112 length=75	2.73	1280	species	STAPHYLOCOCCUS AUREUS	0.285512857045	concat
4415	SRR172903.123422 USI-EAS376:2:2:646:1112 length=75	2.73	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142682440863	concat
4417	SRR172903.517937 USI-EAS376:2:6:1393:1341 length=75	1.75	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.294149439115706	concat
4418	SRR172903.517937 USI-EAS376:2:6:1393:1341 length=75	1.75	1280	species	STAPHYLOCOCCUS AUREUS	0.118588297808881	concat
4419	SRR172903.517937 USI-EAS376:2:6:1393:1341 length=75	1.75	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.117124645688883	concat
4420	SRR172903.157102 USI-EAS376:2:2:1298:874 length=75	3.74	857146	no rank	STREPTOCOCCUS MUTANS 4VF1	0.14375765682085598	concat
4421	SRR172903.157102 USI-EAS376:2:2:1298:874 length=75	3.74	857145	no rank	STREPTOCOCCUS MUTANS 15VF2	0.14329853323485697	concat
4422	SRR172903.157102 USI-EAS376:2:2:1298:874 length=75	3.74	857123	no rank	STREPTOCOCCUS MUTANS NV1996	0.143001858645857	concat
4423	SRR172903.157102 USI-EAS376:2:2:1298:874 length=75	3.74	857150	no rank	STREPTOCOCCUS MUTANS 4SM1	0.142539196214857	concat
4424	SRR172903.157102 USI-EAS376:2:2:1298:874 length=75	3.74	857143	no rank	STREPTOCOCCUS MUTANS 11VS1	0.142517710053857	concat
4425	SRR172903.157102 USI-EAS376:2:2:1298:874 length=75	3.74	1198676	no rank	STREPTOCOCCUS MUTANS GS 5	0.142453263419858	concat
4426	SRR172903.157102 USI-EAS376:2:2:1298:874 length=75	3.74	857108	no rank	STREPTOCOCCUS MUTANS SM1	0.142431781609858	concat
4428	SRR172903.983620 USI-EAS376:2:12:629:446 length=75	2.73	1280	species	STAPHYLOCOCCUS AUREUS	0.28544388806	concat
4429	SRR172903.983620 USI-EAS376:2:12:629:446 length=75	2.73	1409439	no rank	STAPHYLOCOCCUS AUREUS AMMC6071	0.142613146112	concat
4430	SRR172903.391277 USI-EAS376:2:5:601:873 length=75	1.75	1309	species	STREPTOCOCCUS MUTANS	1.0	concat
4431	SRR172903.72960 USI-EAS376:2:1:1438:994 length=75	1.6	985002	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MSHR1132	0.168720698039831	concat
4432	SRR172903.72960 USI-EAS376:2:1:1438:994 length=75	1.6	1280	species	STAPHYLOCOCCUS AUREUS	0.16431885072483599	concat
4433	SRR172903.72960 USI-EAS376:2:1:1438:994 length=75	1.6	904732	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21202	0.134115605324866	concat
4434	SRR172903.72960 USI-EAS376:2:1:1438:994 length=75	1.6	869816	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS JKD6159	0.133301615843867	concat
4435	SRR172903.72960 USI-EAS376:2:1:1438:994 length=75	1.6	985006	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS LGA251	0.133170062845867	concat
4436	SRR172903.72960 USI-EAS376:2:1:1438:994 length=75	1.6	1201010	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA957	0.133049582596867	concat
4437	SRR172903.72960 USI-EAS376:2:1:1438:994 length=75	1.6	1155079	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS DR10	0.0666617923119334	concat
4438	SRR172903.72960 USI-EAS376:2:1:1438:994 length=75	1.6	523796	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS ST398	0.0666617923119334	concat
4439	SRR172903.324778 USI-EAS376:2:4:1055:1616 length=75	1.72	1280	species	STAPHYLOCOCCUS AUREUS	0.425962886601426	concat
